Transaction_ID,Medicine_ID,Supplier_ID,Warehouse_ID,Stock_Quantity,Reorder_Level,Purchase_Price,Selling_Price,Manufacturing_Date,Expiry_Date,Days_To_Expire,Expiry_Status,Medicine_Name,Category_ID,Supplier_Name,Category_Name,Warehouse_Name
36,,S018,3,106,198,47,43,2024-05-09 06:15:26.901,2025-09-20 06:15:26.901,-233,Expired,,,PharmaCare,,Mumbai
37,M017,S003,1,251,188,20,44,2023-09-05 06:15:26.902,2025-03-25 06:15:26.902,-412,Expired,Ibuprofen,3.0,HealthPlus,Vitamin,Nagpur
38,M004,S004,2,1,100,23,130,2025-09-19 06:15:26.902,2026-06-13 06:15:26.902,33,Safe,Vitamin C,1.0,CureWell,Painkiller,Pune
39,M032,S018,2,442,68,81,78,2024-09-01 06:15:26.902,2025-10-16 06:15:26.902,-207,Expired,Amoxicillin,3.0,PharmaCare,Vitamin,Pune
40,M018,S007,3,0,102,92,48,2023-12-24 06:15:26.902,2025-11-10 06:15:26.902,-182,Expired,Paracetamol,3.0,CureWell,Vitamin,Mumbai
41,M014,S008,2,469,137,95,44,2024-01-05 06:15:26.902,2026-06-02 06:15:26.902,22,Expiring Soon,Ibuprofen,2.0,PharmaCare,Antibiotic,Pune
42,M013,S007,1,215,140,12,53,2024-01-30 06:15:26.902,2026-06-29 06:15:26.902,49,Safe,Ibuprofen,2.0,CureWell,Antibiotic,Nagpur
43,M022,S007,1,243,54,30,87,2023-10-15 06:15:26.902,2024-11-10 06:15:26.902,-547,Expired,Amoxicillin,1.0,CureWell,Painkiller,Nagpur
44,M022,S008,3,238,73,31,28,2023-12-28 06:15:26.902,2026-08-18 06:15:26.902,99,Safe,Amoxicillin,1.0,PharmaCare,Painkiller,Mumbai
45,M031,S012,4,456,179,51,39,2024-10-17 06:15:26.902,2026-07-19 06:15:26.902,69,Safe,Ibuprofen,3.0,CureWell,Vitamin,Delhi
46,M032,S019,3,18,73,77,26,2024-09-18 06:15:26.902,2025-08-19 06:15:26.902,-265,Expired,Amoxicillin,3.0,MedLife,Vitamin,Mumbai
47,M010,S017,4,191,120,90,41,2024-08-02 06:15:26.902,2026-05-11 06:15:26.902,0,Expiring Soon,Paracetamol,2.0,HealthPlus,Antibiotic,Delhi
48,M020,S011,1,495,156,24,40,2025-04-09 06:15:26.902,2026-06-07 06:15:26.902,27,Expiring Soon,Vitamin C,2.0,PharmaCare,Antibiotic,Nagpur
49,M045,S012,1,461,109,45,47,2025-01-16 06:15:26.902,2026-05-22 06:15:26.902,11,Expiring Soon,Ibuprofen,1.0,CureWell,Painkiller,Nagpur
50,M024,S019,3,452,110,28,21,2024-06-12 06:15:26.902,2026-01-14 06:15:26.902,-117,Expired,Amoxicillin,2.0,MedLife,Antibiotic,Mumbai
51,M043,S013,1,479,110,81,58,2024-10-13 06:15:26.902,2026-10-26 06:15:26.902,168,Safe,Aspirin,1.0,HealthPlus,Painkiller,Nagpur
52,M028,S010,3,274,82,73,127,2025-06-19 06:15:26.902,2028-01-24 06:15:26.902,623,Safe,Paracetamol,2.0,CureWell,Antibiotic,Mumbai
53,M046,S013,1,460,191,34,82,2024-09-19 06:15:26.902,2025-06-07 06:15:26.902,-338,Expired,Paracetamol,2.0,HealthPlus,Antibiotic,Nagpur
54,M017,S001,1,271,139,32,36,2025-09-02 06:15:26.902,2028-05-10 06:15:26.902,730,Safe,Ibuprofen,3.0,PharmaCare,Vitamin,Nagpur
55,M028,S019,4,388,198,44,34,2024-11-04 06:15:26.902,2026-11-08 06:15:26.902,181,Safe,Paracetamol,2.0,MedLife,Antibiotic,Delhi
56,M037,S020,2,320,161,61,59,2023-08-26 06:15:26.902,2025-02-14 06:15:26.902,-451,Expired,Aspirin,3.0,HealthPlus,Vitamin,Pune
57,M014,S018,2,443,153,91,91,2025-07-23 06:15:26.903,2028-01-16 06:15:26.903,615,Safe,Ibuprofen,2.0,PharmaCare,Antibiotic,Pune
58,M049,S008,4,4,166,98,54,2024-09-30 06:15:26.903,2026-08-20 06:15:26.903,101,Safe,Ibuprofen,2.0,PharmaCare,Antibiotic,Delhi
59,,S012,2,329,191,68,128,2024-01-30 06:15:26.903,2025-12-19 06:15:26.903,-143,Expired,,,CureWell,,Pune
60,M024,S015,3,278,142,39,135,2025-01-23 06:15:26.903,2026-03-29 06:15:26.903,-43,Expired,Amoxicillin,2.0,PharmaCare,Antibiotic,Mumbai
61,M038,S004,1,221,51,53,132,2025-04-15 06:15:26.903,2027-09-10 06:15:26.903,487,Safe,Ibuprofen,1.0,CureWell,Painkiller,Nagpur
62,M043,S017,3,294,157,66,88,2024-11-09 06:15:26.903,2026-09-26 06:15:26.903,138,Safe,Aspirin,1.0,HealthPlus,Painkiller,Mumbai
63,M011,S009,2,200,113,48,30,2024-04-04 06:15:26.903,2026-07-25 06:15:26.903,75,Safe,Paracetamol,3.0,PharmaCare,Vitamin,Pune
64,M018,S004,3,229,139,72,135,2025-05-09 06:15:26.903,2027-07-28 06:15:26.903,443,Safe,Paracetamol,3.0,CureWell,Vitamin,Mumbai
65,M012,S006,2,105,69,73,20,2023-08-22 06:15:26.903,2025-02-17 06:15:26.903,-448,Expired,Paracetamol,1.0,PharmaCare,Painkiller,Pune
66,M040,S014,2,223,148,47,137,2024-10-18 06:15:26.903,2026-09-22 06:15:26.903,134,Safe,Amoxicillin,2.0,MedLife,Antibiotic,Pune
67,M027,S008,2,187,82,96,76,2023-08-22 06:15:26.903,2025-05-01 06:15:26.903,-375,Expired,Paracetamol,3.0,PharmaCare,Vitamin,Pune
68,M040,S016,2,392,151,12,143,2024-06-28 06:15:26.903,2025-04-04 06:15:26.903,-402,Expired,Amoxicillin,2.0,HealthPlus,Antibiotic,Pune
69,M016,S020,3,18,113,28,51,2025-07-29 06:15:26.903,2027-12-21 06:15:26.903,589,Safe,Paracetamol,1.0,HealthPlus,Painkiller,Mumbai
70,M002,S010,3,152,152,80,100,2024-07-14 06:15:26.903,2027-01-07 06:15:26.903,241,Safe,Aspirin,2.0,CureWell,Antibiotic,Mumbai
71,M005,S016,3,134,200,16,63,2024-04-14 06:15:26.903,2025-05-01 06:15:26.903,-375,Expired,Vitamin C,1.0,HealthPlus,Painkiller,Mumbai
72,M031,S012,2,255,121,54,67,2024-11-14 06:15:26.903,2026-02-28 06:15:26.903,-72,Expired,Ibuprofen,3.0,CureWell,Vitamin,Pune
73,M002,S011,1,92,146,59,137,2024-04-04 06:15:26.903,2025-06-11 06:15:26.903,-334,Expired,Aspirin,2.0,PharmaCare,Antibiotic,Nagpur
74,M036,S004,1,4,166,41,103,2025-11-11 06:15:26.903,2027-07-31 06:15:26.903,446,Safe,Paracetamol,2.0,CureWell,Antibiotic,Nagpur
75,M017,S014,4,13,108,83,48,2025-05-17 06:15:26.903,2027-12-22 06:15:26.903,590,Safe,Ibuprofen,3.0,MedLife,Vitamin,Delhi
76,M026,S003,2,84,165,43,140,2024-03-06 06:15:26.903,2024-12-08 06:15:26.903,-519,Expired,Amoxicillin,1.0,HealthPlus,Painkiller,Pune
77,M023,S003,3,244,53,69,83,2025-03-07 06:15:26.904,2026-07-26 06:15:26.904,76,Safe,Aspirin,1.0,HealthPlus,Painkiller,Mumbai
78,M012,S016,1,41,178,97,37,2023-09-24 06:15:26.904,2024-12-08 06:15:26.904,-519,Expired,Paracetamol,1.0,HealthPlus,Painkiller,Nagpur
79,M008,S016,2,483,94,21,135,2026-01-05 06:15:26.904,2028-05-08 06:15:26.904,728,Safe,Amoxicillin,2.0,HealthPlus,Antibiotic,Pune
80,M006,S014,1,360,137,24,35,2026-01-20 06:15:26.904,2026-11-08 06:15:26.904,181,Safe,Ibuprofen,2.0,MedLife,Antibiotic,Nagpur
81,M025,S008,3,290,142,69,126,2025-01-26 06:15:26.904,2026-09-04 06:15:26.904,116,Safe,Vitamin C,2.0,PharmaCare,Antibiotic,Mumbai
82,M030,S012,3,368,164,34,149,2025-06-11 06:15:26.904,2026-10-14 06:15:26.904,156,Safe,Amoxicillin,2.0,CureWell,Antibiotic,Mumbai
83,,S018,3,71,152,56,49,2026-01-10 06:15:26.904,2027-08-05 06:15:26.904,451,Safe,,,PharmaCare,,Mumbai
84,M004,S002,4,8,184,14,47,2024-04-26 06:15:26.904,2026-05-04 06:15:26.904,-7,Expired,Vitamin C,1.0,HealthPlus,Painkiller,Delhi
85,,S019,3,2,143,32,72,2024-10-03 06:15:26.904,2025-06-06 06:15:26.904,-339,Expired,,,MedLife,,Mumbai
86,M047,S002,4,74,59,81,92,2024-02-19 06:15:26.904,2026-02-03 06:15:26.904,-97,Expired,Paracetamol,2.0,HealthPlus,Antibiotic,Delhi
87,M033,S007,4,135,138,10,74,2024-05-29 06:15:26.904,2025-03-05 06:15:26.904,-432,Expired,Aspirin,1.0,CureWell,Painkiller,Delhi
88,M020,S002,3,97,84,60,117,2024-02-29 06:15:26.904,2024-10-23 06:15:26.904,-565,Expired,Vitamin C,2.0,HealthPlus,Antibiotic,Mumbai
89,M026,S013,2,436,170,92,44,2023-09-19 06:15:26.904,2024-04-09 06:15:26.904,-762,Expired,Amoxicillin,1.0,HealthPlus,Painkiller,Pune
90,M031,S010,4,333,83,40,23,2025-11-16 06:15:26.904,2027-04-11 06:15:26.904,335,Safe,Ibuprofen,3.0,CureWell,Vitamin,Delhi
91,M048,S015,3,475,124,62,50,2025-08-08 06:15:26.904,2026-12-04 06:15:26.904,207,Safe,Aspirin,3.0,PharmaCare,Vitamin,Mumbai
92,M030,S017,1,432,145,54,31,2024-01-11 06:15:26.904,2025-06-23 06:15:26.904,-322,Expired,Amoxicillin,2.0,HealthPlus,Antibiotic,Nagpur
93,M048,S006,2,241,71,81,85,2024-06-02 06:15:26.904,2026-02-22 06:15:26.904,-78,Expired,Aspirin,3.0,PharmaCare,Vitamin,Pune
94,M013,S006,4,281,106,83,34,2025-06-09 06:15:26.904,2025-12-28 06:15:26.904,-134,Expired,Ibuprofen,2.0,PharmaCare,Antibiotic,Delhi
95,M031,S008,3,229,76,51,127,2025-05-10 06:15:26.904,2027-06-28 06:15:26.904,413,Safe,Ibuprofen,3.0,PharmaCare,Vitamin,Mumbai
96,M014,S015,4,306,105,67,34,2025-04-03 06:15:26.904,2026-10-19 06:15:26.904,161,Safe,Ibuprofen,2.0,PharmaCare,Antibiotic,Delhi
97,M041,S013,3,89,120,34,85,2025-07-14 06:15:26.904,2026-05-24 06:15:26.904,13,Expiring Soon,Vitamin C,3.0,HealthPlus,Vitamin,Mumbai
98,M050,S006,4,57,61,42,89,2025-10-10 06:15:26.904,2027-08-30 06:15:26.904,476,Safe,Amoxicillin,3.0,PharmaCare,Vitamin,Delhi
99,M047,S004,2,291,194,15,22,2024-12-14 06:15:26.905,2026-11-07 06:15:26.905,180,Safe,Paracetamol,2.0,CureWell,Antibiotic,Pune
100,M005,S019,3,323,77,43,126,2023-12-16 06:15:26.905,2026-07-21 06:15:26.905,71,Safe,Vitamin C,1.0,MedLife,Painkiller,Mumbai
101,M049,S002,3,264,55,93,26,2023-10-13 06:15:26.905,2025-10-12 06:15:26.905,-211,Expired,Ibuprofen,2.0,HealthPlus,Antibiotic,Mumbai
102,M046,S017,3,36,175,91,43,2025-05-19 06:15:26.905,2027-04-09 06:15:26.905,333,Safe,Paracetamol,2.0,HealthPlus,Antibiotic,Mumbai
103,M004,S019,2,60,90,78,29,2025-06-09 06:15:26.905,2027-10-11 06:15:26.905,518,Safe,Vitamin C,1.0,MedLife,Painkiller,Pune
104,,S011,3,285,200,27,24,2023-08-26 06:15:26.905,2024-11-01 06:15:26.905,-556,Expired,,,PharmaCare,,Mumbai
105,M041,S008,4,479,194,86,120,2024-06-16 06:15:26.905,2025-02-17 06:15:26.905,-448,Expired,Vitamin C,3.0,PharmaCare,Vitamin,Delhi
106,M009,S005,3,402,165,57,25,2025-10-02 06:15:26.905,2026-06-04 06:15:26.905,24,Expiring Soon,Aspirin,2.0,HealthPlus,Antibiotic,Mumbai
107,M028,S013,4,495,170,81,141,2023-09-30 06:15:26.905,2025-10-06 06:15:26.905,-217,Expired,Paracetamol,2.0,HealthPlus,Antibiotic,Delhi
108,M007,S020,4,197,176,19,26,2024-03-15 06:15:26.905,2024-11-15 06:15:26.905,-542,Expired,Vitamin C,2.0,HealthPlus,Antibiotic,Delhi
109,M005,S005,4,488,67,91,126,2024-02-13 06:15:26.905,2024-10-13 06:15:26.905,-575,Expired,Vitamin C,1.0,HealthPlus,Painkiller,Delhi
110,M032,S007,2,316,129,19,54,2025-09-18 06:15:26.905,2028-05-17 06:15:26.905,737,Safe,Amoxicillin,3.0,CureWell,Vitamin,Pune
111,M010,S018,4,302,166,96,132,2024-12-07 06:15:26.905,2025-11-01 06:15:26.905,-191,Expired,Paracetamol,2.0,PharmaCare,Antibiotic,Delhi
112,M043,S015,1,434,126,24,51,2025-11-14 06:15:26.905,2026-09-23 06:15:26.905,135,Safe,Aspirin,1.0,PharmaCare,Painkiller,Nagpur
113,M005,S019,2,301,145,58,86,2024-05-06 06:15:26.905,2026-11-12 06:15:26.905,185,Safe,Vitamin C,1.0,MedLife,Painkiller,Pune
114,M026,S016,1,104,98,41,98,2024-02-29 06:15:26.906,2024-10-15 06:15:26.906,-573,Expired,Amoxicillin,1.0,HealthPlus,Painkiller,Nagpur
115,M049,S003,4,456,166,54,98,2025-03-24 06:15:26.906,2027-08-25 06:15:26.906,471,Safe,Ibuprofen,2.0,HealthPlus,Antibiotic,Delhi
116,M034,S014,3,448,65,68,87,2023-09-26 06:15:26.906,2025-01-12 06:15:26.906,-484,Expired,Ibuprofen,2.0,MedLife,Antibiotic,Mumbai
117,M046,S003,4,270,198,81,146,2024-05-25 06:15:26.906,2026-03-02 06:15:26.906,-70,Expired,Paracetamol,2.0,HealthPlus,Antibiotic,Delhi
118,M018,S002,2,84,148,73,37,2025-07-23 06:15:26.906,2026-11-28 06:15:26.906,201,Safe,Paracetamol,3.0,HealthPlus,Vitamin,Pune
119,M012,S011,4,24,120,99,39,2023-10-04 06:15:26.906,2026-05-16 06:15:26.906,5,Expiring Soon,Paracetamol,1.0,PharmaCare,Painkiller,Delhi
120,M006,S019,2,235,85,25,95,2024-10-16 06:15:26.906,2025-09-08 06:15:26.906,-245,Expired,Ibuprofen,2.0,MedLife,Antibiotic,Pune
121,M019,S019,1,140,145,86,120,2025-09-14 06:15:26.906,2026-06-12 06:15:26.906,32,Safe,Paracetamol,3.0,MedLife,Vitamin,Nagpur
122,M018,S020,4,125,167,66,33,2025-10-02 06:15:26.906,2026-06-17 06:15:26.906,37,Safe,Paracetamol,3.0,HealthPlus,Vitamin,Delhi
123,M032,S001,3,354,157,88,33,2024-07-27 06:15:26.906,2027-04-20 06:15:26.906,344,Safe,Amoxicillin,3.0,PharmaCare,Vitamin,Mumbai
124,M030,S012,1,131,156,18,64,2025-12-13 06:15:26.906,2026-09-23 06:15:26.906,135,Safe,Amoxicillin,2.0,CureWell,Antibiotic,Nagpur
125,M023,S006,3,249,63,68,57,2024-09-02 06:15:26.906,2026-10-29 06:15:26.906,171,Safe,Aspirin,1.0,PharmaCare,Painkiller,Mumbai
126,M024,S019,3,208,86,41,92,2023-11-03 06:15:26.907,2024-07-04 06:15:26.907,-676,Expired,Amoxicillin,2.0,MedLife,Antibiotic,Mumbai
127,M029,S003,1,49,85,53,120,2026-01-03 06:15:26.907,2028-02-09 06:15:26.907,639,Safe,Paracetamol,2.0,HealthPlus,Antibiotic,Nagpur
128,M028,S013,1,414,50,81,50,2025-08-26 06:15:26.907,2028-04-09 06:15:26.907,699,Safe,Paracetamol,2.0,HealthPlus,Antibiotic,Nagpur
129,M021,S020,3,280,91,69,139,2024-07-31 06:15:26.907,2025-12-11 06:15:26.907,-151,Expired,Paracetamol,3.0,HealthPlus,Vitamin,Mumbai
130,M045,S013,2,326,153,39,30,2025-09-21 06:15:26.907,2028-01-30 06:15:26.907,629,Safe,Ibuprofen,1.0,HealthPlus,Painkiller,Pune
131,M030,S009,2,175,133,12,49,2023-08-26 06:15:26.907,2025-05-19 06:15:26.907,-357,Expired,Amoxicillin,2.0,PharmaCare,Antibiotic,Pune
132,M016,S017,1,461,78,36,85,2025-09-22 06:15:26.907,2028-02-18 06:15:26.907,648,Safe,Paracetamol,1.0,HealthPlus,Painkiller,Nagpur
133,M015,S012,2,420,63,89,38,2024-08-14 06:15:26.907,2027-04-18 06:15:26.907,342,Safe,Amoxicillin,2.0,CureWell,Antibiotic,Pune
134,M002,S013,4,217,181,67,111,2024-06-09 06:15:26.907,2024-12-29 06:15:26.907,-498,Expired,Aspirin,2.0,HealthPlus,Antibiotic,Delhi
135,M044,S005,2,168,91,59,27,2026-01-21 06:15:26.907,2026-08-25 06:15:26.907,106,Safe,Aspirin,3.0,HealthPlus,Vitamin,Pune
136,M048,S017,3,28,134,32,82,2023-12-07 06:15:26.907,2024-07-27 06:15:26.907,-653,Expired,Aspirin,3.0,HealthPlus,Vitamin,Mumbai
137,,S020,4,292,121,45,132,2024-01-31 06:15:26.908,2026-07-02 06:15:26.908,52,Safe,,,HealthPlus,,Delhi
138,M040,S012,4,176,54,25,38,2024-07-22 06:15:26.908,2026-05-17 06:15:26.908,6,Expiring Soon,Amoxicillin,2.0,CureWell,Antibiotic,Delhi
139,M049,S008,4,20,100,14,53,2025-06-02 06:15:26.908,2027-07-16 06:15:26.908,431,Safe,Ibuprofen,2.0,PharmaCare,Antibiotic,Delhi
140,M041,S005,3,484,56,56,35,2024-11-01 06:15:26.908,2026-01-20 06:15:26.908,-111,Expired,Vitamin C,3.0,HealthPlus,Vitamin,Mumbai
141,M011,S014,2,66,85,98,93,2024-07-20 06:15:26.908,2025-08-20 06:15:26.908,-264,Expired,Paracetamol,3.0,MedLife,Vitamin,Pune
142,M018,S006,3,268,74,71,54,2023-12-20 06:15:26.908,2024-12-30 06:15:26.908,-497,Expired,Paracetamol,3.0,PharmaCare,Vitamin,Mumbai
143,M031,S002,3,202,176,20,105,2024-01-12 06:15:26.919,2026-07-19 06:15:26.919,69,Safe,Ibuprofen,3.0,HealthPlus,Vitamin,Mumbai
144,M016,S017,2,471,140,64,136,2025-09-12 06:15:26.919,2028-04-04 06:15:26.919,694,Safe,Paracetamol,1.0,HealthPlus,Painkiller,Pune
145,M006,S017,4,45,197,57,21,2025-08-26 06:15:26.919,2028-05-16 06:15:26.919,736,Safe,Ibuprofen,2.0,HealthPlus,Antibiotic,Delhi
146,M010,S008,4,479,193,54,56,2025-03-03 06:15:26.920,2026-06-20 06:15:26.920,40,Safe,Paracetamol,2.0,PharmaCare,Antibiotic,Delhi
147,M046,S001,3,368,60,17,45,2024-09-01 06:15:26.920,2025-12-13 06:15:26.920,-149,Expired,Paracetamol,2.0,PharmaCare,Antibiotic,Mumbai
148,M010,S004,3,321,121,22,116,2024-10-13 06:15:26.920,2026-02-21 06:15:26.920,-79,Expired,Paracetamol,2.0,CureWell,Antibiotic,Mumbai
149,M031,S016,4,62,126,82,22,2024-05-19 06:15:26.920,2026-08-18 06:15:26.920,99,Safe,Ibuprofen,3.0,HealthPlus,Vitamin,Delhi
150,M011,S016,3,184,170,76,116,2023-09-09 06:15:26.920,2025-09-18 06:15:26.920,-235,Expired,Paracetamol,3.0,HealthPlus,Vitamin,Mumbai
151,M043,S015,1,433,77,76,137,2024-07-27 06:15:26.920,2025-06-28 06:15:26.920,-317,Expired,Aspirin,1.0,PharmaCare,Painkiller,Nagpur
152,M035,S008,4,385,157,63,61,2023-10-07 06:15:26.920,2024-06-06 06:15:26.920,-704,Expired,Vitamin C,1.0,PharmaCare,Painkiller,Delhi
153,M026,S018,1,181,127,66,47,2024-03-11 06:15:26.920,2026-10-16 06:15:26.920,158,Safe,Amoxicillin,1.0,PharmaCare,Painkiller,Nagpur
154,M021,S019,3,346,170,65,53,2023-09-29 06:15:26.920,2024-08-12 06:15:26.920,-637,Expired,Paracetamol,3.0,MedLife,Vitamin,Mumbai
155,M025,S007,4,314,74,30,80,2025-01-05 06:15:26.920,2025-09-08 06:15:26.920,-245,Expired,Vitamin C,2.0,CureWell,Antibiotic,Delhi
156,M050,S008,3,332,72,23,99,2025-06-10 06:15:26.921,2026-01-31 06:15:26.921,-100,Expired,Amoxicillin,3.0,PharmaCare,Vitamin,Mumbai
157,M049,S013,2,337,132,99,25,2024-01-09 06:15:26.921,2025-08-21 06:15:26.921,-263,Expired,Ibuprofen,2.0,HealthPlus,Antibiotic,Pune
158,M019,S020,4,184,60,18,94,2025-03-25 06:15:26.921,2026-08-03 06:15:26.921,84,Safe,Paracetamol,3.0,HealthPlus,Vitamin,Delhi
159,,S010,2,80,71,23,85,2024-05-23 06:15:26.921,2025-08-03 06:15:26.921,-281,Expired,,,CureWell,,Pune
160,M020,S003,4,256,123,78,68,2024-09-01 06:15:26.921,2025-05-02 06:15:26.921,-374,Expired,Vitamin C,2.0,HealthPlus,Antibiotic,Delhi
161,M028,S015,1,403,195,73,140,2024-10-21 06:15:26.921,2027-02-14 06:15:26.921,279,Safe,Paracetamol,2.0,PharmaCare,Antibiotic,Nagpur
162,M015,S004,3,285,180,66,146,2023-11-13 06:15:26.921,2024-07-13 06:15:26.921,-667,Expired,Amoxicillin,2.0,CureWell,Antibiotic,Mumbai
163,M038,S011,3,252,193,79,91,2025-09-19 06:15:26.921,2028-03-31 06:15:26.921,690,Safe,Ibuprofen,1.0,PharmaCare,Painkiller,Mumbai
164,M012,S014,4,186,64,30,56,2024-10-02 06:15:26.921,2026-08-27 06:15:26.921,108,Safe,Paracetamol,1.0,MedLife,Painkiller,Delhi
